,Carrier_Code,Origin_Airport,Flight_Season,Flight_Month,Flight_Week,Flight_Day,Scheduled_Departure_Time,Actual_Departure_Time,Departure_Delay,Dep_Temp_3,Dep_Pressure_3,Dep_Humidity_3,Dep_Wind_Speed_3,Dep_Wind_Deg_3,Dep_Clouds_3,Dep_Rain_3,Airport_Abbr,Lat_N,Lng_W,GMT,Carrier_Abbr
127,6,221.0,3,8,33,20,18,19,32.0,2.0,-1.0,7.0,1,26.0,8.0,0.0,DFW,32.89,97.04,-6.0,AA
128,6,217.0,2,5,20,21,23,23,8.0,0.0,2.0,5.0,11,27.0,4.0,0.0,LAX,33.94,118.4,-8.0,AA
129,6,195.0,1,2,7,18,8,8,-3.0,-4.0,18.0,5.0,1,7.0,2.0,0.0,PHL,39.87,75.24,-5.0,AA
130,6,199.0,3,6,26,30,18,18,32.0,-1.0,-1.0,9.0,4,26.0,9.0,0.0,SFO,37.62,122.37,-8.0,AA
131,6,221.0,3,8,31,2,7,7,24.0,1.0,3.0,9.0,0,31.0,10.0,0.0,DFW,32.89,97.04,-6.0,AA
132,6,193.0,1,1,4,25,7,6,-8.0,0.0,7.0,8.0,3,9.0,9.0,0.0,RSW,26.53,81.75,-5.0,AA
133,6,217.0,1,1,53,3,0,0,7.0,0.0,11.0,5.0,2,19.0,7.0,0.0,LAX,33.94,118.4,-8.0,AA
134,6,221.0,3,7,29,24,14,14,10.0,2.0,3.0,7.0,3,19.0,0.0,0.0,DFW,32.89,97.04,-6.0,AA
135,6,221.0,1,2,7,15,11,11,23.0,-6.0,14.0,7.0,8,34.0,9.0,0.0,DFW,32.89,97.04,-6.0,AA
136,6,205.0,2,5,20,18,10,9,-9.0,-1.0,9.0,7.0,2,25.0,0.0,0.0,BOS,42.36,71.0,-5.0,AA
137,6,214.0,1,1,4,31,11,11,-4.0,-3.0,9.0,7.0,4,5.0,9.0,0.0,CLT,35.21,80.94,-5.0,AA
138,6,214.0,3,6,23,9,14,14,12.0,1.0,7.0,9.0,3,21.0,0.0,0.0,CLT,35.21,80.94,-5.0,AA
139,6,214.0,2,4,16,19,14,14,-5.0,-1.0,-2.0,6.0,5,3.0,7.0,0.0,CLT,35.21,80.94,-5.0,AA
140,6,218.0,2,5,19,11,15,16,37.0,0.0,-3.0,1.0,3,11.0,0.0,0.0,PHX,33.43,112.01,-7.0,AA
141,6,211.0,2,3,10,8,9,13,251.0,0.0,12.0,7.0,4,34.0,0.0,0.0,MIA,25.79,80.27,-5.0,AA
142,6,206.0,3,6,24,20,13,13,20.0,2.0,4.0,7.0,4,21.0,4.0,0.0,TPA,27.97,82.53,-5.0,AA
143,6,99.0,3,7,26,4,8,8,40.0,1.0,3.0,7.0,3,18.0,4.0,0.0,ICT,37.65,97.42,-6.0,AA
144,6,188.0,3,6,24,16,18,18,26.0,1.0,1.0,4.0,4,30.0,4.0,0.0,DCA,38.85,77.04,-5.0,AA
145,6,206.0,2,5,18,5,15,15,-3.0,2.0,6.0,8.0,3,18.0,7.0,0.0,TPA,27.97,82.53,-5.0,AA
146,6,214.0,3,6,25,21,9,9,17.0,1.0,-3.0,9.0,2,26.0,2.0,0.0,CLT,35.21,80.94,-5.0,AA
147,6,215.0,1,1,4,25,19,19,2.0,-4.0,5.0,6.0,5,36.0,9.0,0.0,ORD,41.98,87.9,-6.0,AA
148,6,218.0,1,1,1,7,14,15,72.0,-2.0,6.0,3.0,2,12.0,4.0,0.0,PHX,33.43,112.01,-7.0,AA
149,6,211.0,2,5,19,16,14,15,46.0,1.0,6.0,6.0,2,36.0,7.0,0.0,MIA,25.79,80.27,-5.0,AA
150,6,214.0,2,3,11,18,16,17,56.0,-1.0,-3.0,10.0,3,13.0,9.0,1.0,CLT,35.21,80.94,-5.0,AA
151,6,195.0,1,2,5,1,9,9,-1.0,-4.0,2.0,8.0,9,4.0,9.0,15.0,PHL,39.87,75.24,-5.0,AA
152,6,217.0,2,5,19,15,16,17,18.0,0.0,1.0,7.0,2,15.0,9.0,0.0,LAX,33.94,118.4,-8.0,AA
153,6,214.0,3,7,30,30,9,9,-1.0,2.0,-1.0,8.0,1,17.0,9.0,0.0,CLT,35.21,80.94,-5.0,AA
154,6,218.0,3,6,25,22,22,23,54.0,5.0,-4.0,1.0,3,27.0,7.0,0.0,PHX,33.43,112.01,-7.0,AA
155,6,199.0,3,7,28,13,11,23,704.0,-1.0,-1.0,9.0,6,28.0,7.0,0.0,SFO,37.62,122.37,-8.0,AA
156,6,218.0,2,5,19,15,9,11,102.0,2.0,-5.0,1.0,3,26.0,0.0,0.0,PHX,33.43,112.01,-7.0,AA
